SMILES_solute,SMILES_solvent,T/K,COSMO-SAC1,lngamma1,x1,dlnr1,index
c1ccccc1,CC(C)O,298.15,0.784356187,1.8017,1.00E-08,1.017343813,1
c1ccccc1,CC(C)O,298.2,0.784227726,1.4446,1.00E-08,0.660372274,2
CC[N+](=O)[O-],CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,353.15,0.058436909,-0.1054,1.00E-08,-0.163836909,3
CC[N+](=O)[O-],CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,384.15,-0.053948563,0.1823,1.00E-08,0.236248563,4
C[N+](=O)[O-],CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,353.15,1.614951031,1.7405,1.00E-08,0.125548969,5
C[N+](=O)[O-],CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,384.15,1.254388722,1.8563,1.00E-08,0.601911278,6
CCCCO[N+](=O)[O-],CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,384.15,-0.002656924,0.1823,1.00E-08,0.184956924,7
CCCCO[N+](=O)[O-],CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,353.15,0.093547654,0.2624,1.00E-08,0.168852346,8
CCCCCO[N+](=O)[O-],CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,353.15,0.099368694,0.2624,1.00E-08,0.163031306,9
CCCCCCO[N+](=O)[O-],CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,384.15,0.067972884,0.1823,1.00E-08,0.114327116,10
CCC[N+](=O)[O-],CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,384.15,0.318256879,1.1632,1.00E-08,0.844943121,11
CCC[N+](=O)[O-],CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,412.15,0.185389129,0.8755,1.00E-08,0.690110871,12
CCC[N+](=O)[O-],CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,353.15,0.498504405,1.0296,1.00E-08,0.531095595,13
CCO[N+](=O)[O-],CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,353.15,0.205078714,0.6419,1.00E-08,0.436821286,14
CCO[N+](=O)[O-],CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,384.15,0.0625138,0.5306,1.00E-08,0.4680862,15
CCO[N+](=O)[O-],CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,412.15,-0.041743959,0.47,1.00E-08,0.511743959,16
CCCC[N+](=O)[O-],CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,353.15,0.438812355,0.9933,1.00E-08,0.554487645,17
CCCC[N+](=O)[O-],CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,384.15,0.283450283,1.0986,1.00E-08,0.815149717,18
CCCC[N+](=O)[O-],CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,412.15,0.169209992,0.6931,1.00E-08,0.523890008,19
CCCCCCCCC,CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,384.15,-0.032285974,0.2624,1.00E-08,0.294685974,20
CCCCCCCCC,CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,353.15,0.008137173,0.3365,1.00E-08,0.328362827,21
CCCCCCCCC,CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,393.15,-0.042536639,0.3436,1.00E-08,0.386136639,22
CCC[N+](=O)[O-],CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,384.15,-0.323344934,0.0953,1.00E-08,0.418644934,23
CCC[N+](=O)[O-],CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,353.15,-0.26559207,-0.1625,1.00E-08,0.10309207,24
CCCO[N+](=O)[O-],CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,353.15,0.092388761,0.4055,1.00E-08,0.313111239,25
CCCO[N+](=O)[O-],CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,384.15,-0.017064014,0.3365,1.00E-08,0.353564014,26
