Normalized SMILES,index,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,sigma_9,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_16,sigma_17,sigma_18,sigma_19,sigma_20,sigma_21,sigma_22,sigma_23,sigma_24,sigma_25,sigma_26,sigma_27,sigma_28,sigma_29,sigma_30,sigma_31,sigma_32,sigma_33,sigma_34,sigma_35,sigma_36,sigma_37,sigma_38,sigma_39,sigma_40,sigma_41,sigma_42,sigma_43,sigma_44,sigma_45,sigma_46,sigma_47,sigma_48,sigma_49,sigma_50,sigma_51,Vcosmo
O=C(O)CCCCC(S)CCS,1,0,0,0,0,0.113,0.56,1.031,1.225,1.318,1.027,0.483,0.267,0.548,0.979,1.568,2.796,4.162,5.423,7.703,12.62,18.706,22.19,21.939,18.752,15.025,13.013,11.064,8.394,6.656,6.536,8.856,10.605,8.179,5.25,6.278,9.214,9.265,6.133,3.233,1.688,0.582,0.035,0,0,0,0,0,0,0,0,0,263.9411
NC(CC(=O)O)C(=O)O,2,0,0,0,0.071,0.561,1.615,2.369,2.637,2.529,1.485,0.544,1.363,3.168,3.694,3.117,3.752,6.009,7.319,6.35,4.878,4.601,5.585,6.487,6.092,4.543,2.962,2.275,2.483,2.749,3.448,5.573,6.491,5.198,5.015,6.287,8.312,9.239,7.286,4.802,2.392,0.693,0.58,0.783,0.715,0.436,0.2,0.074,0.016,0,0,0,150.0318
NCCCCNC(N)=O,3,0,0,0,0,0,0,0,0.094,0.926,2.511,3.52,3.428,3.193,3.568,4.161,3.945,3.439,3.856,4.126,4.225,6.631,11.58,15.942,16.106,12.869,10.329,9.141,7.892,6.062,4.46,3.829,3.024,2.021,2.199,2.611,2.195,1.955,1.981,2.118,2.956,4.26,4.91,4.084,2.35,1.067,0.573,0.377,0.476,0.612,0.316,0.03,175.8818
CC(N)C(N)CCCCCC(=O)O,4,0,0,0,0.002,0.12,0.61,1.064,1.103,1.162,1.023,0.546,0.283,0.631,1.745,3.326,4.122,4.361,6.244,8.005,8.111,10.779,17.524,23.398,24.541,21.494,16.614,12.964,11.561,10.276,7.743,5.295,4.563,4.421,3.61,3.629,4.868,5.725,5.153,3.955,2.877,1.658,0.734,0.551,0.984,1.281,1.205,1.116,0.757,0.263,0.043,0,260.4025
O=CCc1ccccc1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,1.253,4.178,7.974,12.21,14.847,13.235,9.697,7.021,6.15,6.9,7.189,6.195,6.463,7.781,8.489,8.593,7.501,6.21,4.503,3.067,3.296,3.296,2.507,2.104,1.64,0.757,0.161,0,0,0,0,0,0,0,0,0,157.8206
O=C(O)C1=CC(O)C(O)C(O)C1,6,0,0,0,0.058,0.292,0.851,1.658,3.18,4.413,3.355,2.617,3.811,4.213,3.058,1.773,1.695,2.879,5.355,8.739,10.918,10.148,7.87,7.435,8.014,7.206,5.596,4.37,4.421,4.685,3.968,3.734,4.156,4.39,4.545,4.347,4.939,6.534,7.395,6.907,5.02,3.65,4.06,3.785,1.815,0.306,0,0,0,0,0,0,193.6633
O=C(O)C1CCCNC1C(=O)O,7,0,0,0,0.06,0.55,1.646,2.484,2.739,2.469,1.392,0.58,1.299,2.621,2.755,1.948,1.448,1.684,2.506,4.143,7.038,11.394,15.174,15.006,12.394,10.32,8.488,6.713,5.347,3.998,3.387,4.487,5.147,4.346,4.197,5.788,8.417,8.804,6.315,3.939,2.267,1.407,1.112,0.629,0.432,0.579,0.506,0.276,0.147,0.049,0,0,199.0502
COc1ccc2[nH]c3c(c2c1)CCNC3,8,0,0,0,0,0,0,0.04,0.389,0.995,1.164,1.06,1.337,1.917,2.288,2.059,1.613,1.559,3.289,8.249,14.408,17.939,18.378,17.615,16.27,14.228,11.617,9.365,7.881,6.907,8.143,11.218,12.501,11.254,8.858,5.932,3.429,2.008,1.764,1.915,1.329,0.577,0.523,0.811,0.808,0.484,0.189,0.336,0.53,0.248,0.005,0,245.4312
C=C(C)C1CC=C2CCCC(C)C2(C)C1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,2.555,10.574,23.225,32.097,31.292,25.533,21.822,22.196,24.321,21.198,12.534,6.243,4.436,4.036,3.534,2.811,1.636,0.514,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,295.0482
CC(C)(CO)C(O)C(=O)NCCCC(=O)O,10,0,0,0,0.026,0.179,0.8,1.548,2.338,3.303,3.356,3.155,3.484,3.577,3.085,2.111,1.721,3.117,5.645,8.647,13.165,17.617,19.359,18.39,15.86,13.254,11.448,11.52,12.22,10.027,6.461,5,4.748,3.909,3.783,4.877,5.97,7.859,8.94,8.528,8.208,6.295,3.365,1.286,0.217,0,0,0,0,0,0,0,288.7757
CC(C)OC(=O)Nc1cccc(Cl)c1,11,0,0,0,0,0,0.007,0.156,0.593,1.222,1.399,0.866,0.429,0.624,1.009,1.288,1.842,2.801,4.546,7.037,10.051,13.489,15.687,15.489,14.966,15.157,15.774,18.706,21.2,20.623,18.998,14.174,6.713,2.638,2.613,3.156,2.956,3.183,3.43,2.163,0.629,0.073,0,0,0,0,0,0,0,0,0,0,251.2152
NC1CCCCCC1,12,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.343,1.347,2.058,2.112,2.421,2.58,2.164,2.718,8.128,16.529,21.19,21.823,19.352,15.792,13.777,10.508,5.756,2.258,0.728,0.544,0.551,0.473,0.643,0.74,0.585,0.616,0.515,0.168,0.145,0.598,1.084,1.029,0.566,0.211,0.314,0.624,0.494,0.129,165.7568
